id,calories,proteins,fat,carbohydrate,name
479,416,46.9,23.9,0,Ikan Mujair goreng
480,121,21.7,2.8,0.8,Ikan Mujair pepes
481,89,18.7,1,0,Ikan Mujair segar
482,154,16.8,5,10.5,Ikan nasu metti segar
483,125,21.3,3.4,2.2,Ikan oci kembung segar
484,152,17.6,6.1,6.7,Ikan Papuyu bakar
485,120,14.3,4.9,4.6,Ikan papuyu/ betok segar
486,144,17.5,6.3,4.3,Ikan Patin bakar
487,132,17,6.6,1.1,Ikan Patin segar
488,156,28,4,2,Ikan peda banjar mentah
489,176,32,4.4,0,Ikan Pepetek
490,157,28,4.2,1.8,Ikan Pindang banjar mentah
491,170,31,4.2,0,Ikan Pindang benggol mentah
492,153,30,2.8,0,Ikan Pindang layang mentah
493,142,27,3,0,Ikan Pindang selar mentah
494,415,61.3,17.6,2.9,Ikan sale lais mentah
495,534,40.2,39.3,4.9,Ikan Sale segar
496,284,34.1,9.9,14.6,Ikan saluang kering mentah
497,113,13.9,4.9,3.4,Ikan saluang segar
498,240,21.7,7.7,20.7,Ikan sanggang masakan
499,109,19.9,1.8,3.4,Ikan sarden segar
500,113,17,4.5,0,Ikan Segar
501,194,38,3.5,0,Ikan Selar kering
502,138,27,3.3,0,Ikan selar kuning cue mentah
503,100,18.8,2.2,0,Ikan selar segar
504,289,38,14,0,Ikan Sepat kering
505,84,15.2,0.6,4.7,Ikan sepat segar
506,81,11.4,1.9,3.8,Ikan sidat segar
507,199,34.1,3.8,7.1,Ikan sunu asin mentah
508,111,13.3,3.4,6.7,Ikan sunu segar
509,88,15.9,0.9,4.1,Ikan tahuman segar
510,96,19.5,1.1,2,Ikan tarmon segar
511,95,15.8,0.7,6.5,Ikan telan segar
512,358,20.7,26.4,9.4,Ikan telur asin mentah
513,204,16,15,0,Ikan Tembang
514,101,15.1,4.1,1,Ikan tempahas segar
515,316,60.1,6.5,22.4,Ikan tepung mentah
516,98,19.6,1.7,1,Ikan terbang segar
517,277,60,2.3,1.8,Ikan Teri bubuk
518,170,33.4,3,0,Ikan Teri kering
519,331,68.7,4.2,0,Ikan Teri Kering tawar
520,144,32.5,0.6,0,Ikan Teri Nasi kering
521,74,10.3,1.4,4.1,Ikan teri segar
522,347,48.8,6.4,19.6,Ikan Teri tepung
523,82,17.4,0.4,2.3,Ikan titang segar
524,100,13.7,1.5,8,Ikan tongkol segar
525,96,19.2,2,0.2,Ikan turi segar
526,474,7.6,21.6,62.3,Intip goreng
527,496,30.3,33.5,18.4,Itik alabio daging dendeng mentah
528,156,2.7,1.3,33.3,Jagung grontol
529,361,8.7,4.5,72.4,Jagung Kuning giling
530,129,4.1,1.3,30.3,Jagung Kuning muda
531,307,7.9,3.4,63.6,Jagung Kuning pipil baru
532,366,9.8,7.3,69.1,Jagung kuning pipil kering mentah
533,355,9.2,3.9,73.7,Jagung Kuning pipil lama
534,154,3.8,3.5,28.4,Jagung kuning pipil rebus
535,140,4.7,1.3,33.1,Jagung Kuning segar
536,355,9.2,3.9,73.7,Jagung kuning tepung
537,35,2.2,0.1,7.4,Jagung muda
538,147,5.1,0.7,31.5,Jagung muda kuning mentah
539,142,5,0.7,30.3,Jagung muda rebus
540,367,6.2,5.1,76.2,Jagung pipil var. harapan kering
541,368,5.5,4.6,78,Jagung pipil var. metro kering
542,361,8.7,4.5,72.4,Jagung Putih giling
543,129,4.1,1.3,30.3,Jagung Putih muda
544,307,7.9,3.4,63.6,Jagung Putih pipil baru
545,355,9.2,3.9,73.7,Jagung Putih pipil lama
546,140,4.7,1.3,33.1,Jagung Putih segar
547,175,1.8,1.8,35,Jagung Rebus 
548,148.9,10.4,10.4,20.1,Jagung Sayur (tumis) 
549,374,9.4,2.2,79.1,Jagung titi
550,51,1.5,1,10.1,Jahe
551,289,11,4,61,Jali
552,239,0.5,0.6,64.5,Jam selai
553,286,48.5,9.2,2.3,Jambal goreng
554,46,0.6,0,11.8,Jambu Air
555,49,0.9,0.3,12.2,Jambu Biji
556,61,0.9,0.3,15.4,Jambu biji putih tidak berbiji
557,56,0.6,0.3,14.2,Jambu Bol
558,64,0.7,0.6,15.8,Jambu Monyet buah
